make,model,wh_km,capacity_kwh
FISKER,OCEAN EXTREME,201,106.50
FISKER,OCEAN ONE,201,106.50
MERCEDES,EQE SUV 300,201,90.60
NIO,EL6 75 KWH,201,70.50
AUDI,Q8 E-TRON SPORTBACK 55 QUATTRO,202,106.00
MERCEDES,EQE SUV 350+,202,96.00
POLESTAR,4 LONG RANGE DUAL MOTOR,202,94.00
AUDI,E-TRON GT QUATTRO,202,85.00
VOLVO,XC40 RECHARGE TWIN MOTOR,203,79.00
MERCEDES,EQS AMG 53 4MATIC+,203,108.40
GENESIS,GV60 SPORT PLUS,203,74.00
TOYOTA,BZ4X AWD,203,64.00
PORSCHE,TAYCAN TURBO S CROSS TURISMO,204,83.70
FORD,MUSTANG MACH-E ER AWD,204,91.00
RENAULT,KANGOO E-TECH ELECTRIC,205,45.00
NIO,EL6 100 KWH,205,90.00
KIA,EV6 GT,206,74.00
VINFAST,VF 8 ECO EXTENDED RANGE,206,87.70
VINFAST,VF 8 PLUS EXTENDED RANGE,206,87.70
PORSCHE,TAYCAN TURBO SPORT TURISMO,207,83.70
NIO,EL7 75 KWH,207,70.50
FORD,MUSTANG MACH-E SR AWD,207,72.60
BMW,I7 M70 XDRIVE,208,101.70
ELARIS,BEO 86 KWH,208,81.00
HYUNDAI,IONIQ 5 N,208,80.00
MERCEDES,EQE SUV 500 4MATIC,208,96.00
MERCEDES,EQE SUV 500 4MATIC,208,90.60
MERCEDES,EQE SUV 500 4MATIC,211,96.00
MERCEDES,EQE SUV 500 4MATIC,211,90.60
MERCEDES,EQE SUV 350 4MATIC,208,90.60
MERCEDES,EQE SUV 350 4MATIC,208,89.00
MERCEDES,EQE SUV 350 4MATIC,209,90.60
MERCEDES,EQE SUV 350 4MATIC,209,89.00
BMW,IX XDRIVE50,208,105.20
VOYAH,FREE 106 KWH,208,100.00
TESLA,MODEL X PLAID,209,95.00
NIO,EL7 100 KWH,209,90.00
AUDI,Q8 E-TRON 50 QUATTRO,209,89.00
AUDI,E-TRON GT RS,210,85.00
AUDI,Q8 E-TRON 55 QUATTRO,210,106.00
GENESIS,GV70 ELECTRIFIED SPORT,211,74.00
PORSCHE,TAYCAN TURBO S SPORT TURISMO,212,83.70
KIA,EV9 99.8 KWH RWD,213,96.00
FORD,MUSTANG MACH-E GT,214,91.00
NISSAN,ARIYA E-4ORCE 87KWH - 225 KW,215,87.00
NISSAN,ARIYA E-4ORCE 87KWH - 290 KW,215,87.00
MERCEDES,EQS SUV 450+,217,108.40
BMW,IX M60,217,105.20
MERCEDES,EQE SUV AMG 43 4MATIC,218,90.60
POLESTAR,3 LONG RANGE DUAL MOTOR,218,107.00
ROLLS-ROYCE,SPECTRE,219,102.00
VOLVO,EX90 SINGLE MOTOR,220,101.00
LOTUS,ELETRE,220,109.00
TOYOTA,PROACE CITY VERSO ELECTRIC L1 50 KWH,220,46.30
AUDI,SQ8 E-TRON SPORTBACK,221,106.00
MERCEDES,EQE SUV AMG 53 4MATIC+,221,90.60
MERCEDES,EQS SUV 500 4MATIC,221,108.40
MERCEDES,EQS SUV 450 4MATIC,221,108.40
JAGUAR,I-PACE EV400,223,84.70
